时间,模型,IP,prompt,completion,tokens,积分消耗,当前余额积分,请求ID,key,info
03-08 04:57:53,gpt-4o-mini,2a06:98c0:3600::103,853,6,859,9,92519,yNjZ4P1CsXdIZHB0,主,
03-08 04:57:28,img-chatgpt-4o-latest,2a06:98c0:3600::103,1,0,1,1000,93519,img-bqv3JFanaXUkaQdy,主,
03-08 04:57:28,chatgpt-4o-latest,2a06:98c0:3600::103,43,884,927,957,94476,bqv3JFanaXUkaQdy,主,
03-07 23:29:08,gpt-4o-mini,2a06:98c0:3600::103,3310,8,3318,36,94512,Pv1Q1kkCg3CBh6CR,主,
03-07 23:28:13,deepseek-r1,2a06:98c0:3600::103,1732,2143,3875,330,94842,Oxkp1nMrL3iamCkm,主,
03-07 14:21:32,gpt-4o-mini,2a06:98c0:3600::103,13750,371,14121,162,95004,I6EgwaHquVdooPDv,主,
03-07 14:16:45,gpt-4o-mini,2a06:98c0:3600::103,13522,374,13896,160,95164,Tku2vs29nLWY0wqL,主,
03-07 14:13:29,gpt-4o-mini,2a06:98c0:3600::103,13180,374,13554,156,95320,bCbzBerCPafzOcJ5,主,
03-07 14:10:33,gpt-4o-mini,2a06:98c0:3600::103,12535,291,12826,146,95466,IbyqhcYdbdZ2grFN,主,
03-07 14:08:07,gpt-4o-mini,2a06:98c0:3600::103,12159,382,12541,146,95612,XxQA9OdXEAcPsROn,主,
03-07 14:05:14,gpt-4o-mini,2a06:98c0:3600::103,11803,359,12162,141,95753,Xoi88qMZHsu1d6Lv,主,
03-07 14:02:04,gpt-4o-mini,2a06:98c0:3600::103,11356,369,11725,137,95890,75TrnGauRyF9xii0,主,
03-07 14:00:30,gpt-4o-mini,2a06:98c0:3600::103,11011,401,11412,134,96024,ks9qO47J8ylFz63F,主,
03-07 13:59:27,gpt-4o-mini,2a06:98c0:3600::103,10676,329,11005,128,96152,AaAubMRaj8qUsXVP,主,
03-07 13:57:03,gpt-4o-mini,2a06:98c0:3600::103,10122,313,10435,121,96273,92msnoeSeEf9Y1VD,主,
03-07 13:55:41,gpt-4o-mini,2a06:98c0:3600::103,9676,394,10070,120,96393,nDQsQxyZ5D3woR9E,主,
03-07 13:54:43,gpt-4o-mini,2a06:98c0:3600::103,9087,471,9558,117,96510,advDoaEPdGPiYKEX,主,
03-07 13:53:42,gpt-4o-mini,2a06:98c0:3600::103,8077,301,8378,99,96609,dxY6Wq3XvT75QX4M,主,
03-07 13:50:00,gpt-4o-mini,2a06:98c0:3600::103,6779,222,7001,82,96691,avrTz61o3qMJoWjS,主,
03-07 06:21:55,gpt-4o-mini,2a06:98c0:3600::103,6082,292,6374,77,96768,TBr8BoRWw862TLqN,主,
03-07 06:20:45,gpt-4o-mini,2a06:98c0:3600::103,6082,329,6411,79,96847,TfyUwzoM6FVqupoy,主,
03-07 06:16:03,gpt-4o-mini,2a06:98c0:3600::103,5620,425,6045,78,96925,N1SGcRzA8hJnBT6M,主,
03-07 06:14:40,gpt-4o-mini,2a06:98c0:3600::103,5270,366,5636,72,96997,mvPNWQSvrErdtCct,主,
03-07 06:03:19,gpt-4o-mini,2a06:98c0:3600::103,218,10,228,3,97000,qH3PO9kTKmnANW9w,主,
03-07 06:03:11,deepseek-r1,2a06:98c0:3600::103,25,160,185,21,97021,vjpu4ZL0XzT8MNO7,主,
03-07 06:00:11,gpt-4o-mini,2a06:98c0:3600::103,4910,358,5268,67,97088,px6aX7o8GAfrgN5G,主,
03-07 05:57:30,gpt-4o-mini,2a06:98c0:3600::103,3939,378,4317,58,97146,BUH1X6FAenN3xrYe,主,
03-07 05:56:08,gpt-4o-mini,2a06:98c0:3600::103,3215,408,3623,52,97198,gf7m96D02AW2ahF1,主,
03-07 05:55:13,gpt-4o-mini,2a06:98c0:3600::103,1879,440,2319,39,97237,DOd4pCQtgSfokfQr,主,
03-06 21:43:06,gpt-4o-mini,2a06:98c0:3600::103,1049,355,1404,26,97263,1RpnfcpywSyKKNPu,主,
03-06 21:42:23,deepseek-v3,2a06:98c0:3600::103,4326,750,5076,117,97380,XTPbPp6g0zBMpW2o,主,
03-06 21:38:48,deepseek-v3,2a06:98c0:3600::103,2662,1646,4308,148,97528,BAQPWIuCBx7do10F,主,
03-06 21:39:22,gpt-4o-mini,2a06:98c0:3600::103,1127,205,1332,21,97549,5y9PZD7SSpTMXnvc,主,
03-06 21:38:30,chatgpt-4o-latest,2a06:98c0:3600::103,8847,1470,10317,4706,102255,h7LiAFUgbHj1fUPs,主,
03-06 21:34:39,gpt-4o-mini,2a06:98c0:3600::103,1058,196,1254,20,102275,j74nLLFNKodcBZmu,主,
03-06 21:34:20,chatgpt-4o-latest,2a06:98c0:3600::103,6887,710,7597,3201,105476,XnWnfFUe7UUuXo1V,主,
03-06 21:27:04,gpt-4o-mini,2a06:98c0:3600::103,1002,184,1186,18,105494,a6njR1dBklFiTSmh,主,
03-06 21:26:04,chatgpt-4o-latest,2a06:98c0:3600::103,5428,1395,6823,3413,108907,iaccSHYwTNKQlDAE,主,
03-06 21:12:28,gpt-4o-mini,2a06:98c0:3600::103,360,135,495,10,108917,4Simgcge0BTY0MS1,主,
03-06 21:11:39,chatgpt-4o-latest,2a06:98c0:3600::103,2204,1097,3301,1951,110868,0gzZOfHuH1R92mRN,主,
03-06 21:11:28,gpt-4o-mini,2a06:98c0:3600::103,273,118,391,8,110876,3ynDtfIBtpVaUcRL,主,
03-06 21:11:24,chatgpt-4o-latest,2a06:98c0:3600::103,998,48,1046,405,111281,hgZKchPSE7nqRq7u,主,
03-06 21:11:16,gpt-4o-mini,2a06:98c0:3600::103,222,78,300,6,111287,Q6YFDpLcoiTY3gU0,主,
03-06 21:10:43,chatgpt-4o-latest,2a06:98c0:3600::103,975,35,1010,383,111670,rUGftUkpzyxtaJXT,主,
03-06 21:03:32,gpt-4o-mini,2a06:98c0:3600::103,133,28,161,3,111673,JMokM46Z17H7hyZ4,主,
03-06 21:03:25,chatgpt-4o-latest,2a06:98c0:3600::103,576,328,904,554,112227,DDRVBvMVn6QKLWEu,主,
03-06 21:03:07,chatgpt-4o-latest,2a06:98c0:3600::103,210,49,259,127,112354,zg43M44DN8Z7TfUQ,主,
03-06 21:02:59,deepseek-v3,2a06:98c0:3600::103,2357,278,2635,55,112409,TOvLFsW8HuZI7uET,主,
03-06 21:01:15,chatgpt-4o-latest,2a06:98c0:3600::103,134,37,171,87,112496,UOW3zttkaZY1Bmdv,主,
03-06 21:01:10,chatgpt-4o-latest,2a06:98c0:3600::103,53,70,123,93,112589,YlXXiZsxtaSbrCID,主,
03-06 21:00:56,gpt-4o-mini,2a06:98c0:3600::103,87,4,91,1,112590,pX6gh3xXX54ue8fO,主,
03-06 21:00:46,chatgpt-4o-latest,2a06:98c0:3600::103,20,12,32,20,112610,5QyFM8RzfRiE0kit,主,
03-06 20:38:32,deepseek-v3,2a06:98c0:3600::103,1368,1086,2454,91,112701,RLtQkxvbMPDi8nj7,主,
03-06 20:15:22,gpt-4o-mini,2a06:98c0:3600::103,847,10,857,9,112710,TUC3u0acqRsL3bhd,主,
03-06 20:14:50,deepseek-v3,2a06:98c0:3600::103,74,849,923,55,112765,8HUed0vCGWigZ8Mw,主,
03-06 20:10:54,deepseek-v3,2a06:98c0:3600::103,1122,1218,2340,96,112861,3Fs2vzFoZg7147G6,主,
03-06 19:56:36,gpt-4o-mini,2a06:98c0:3600::103,1004,10,1014,11,112872,pGizYXvlNKKbGRf7,主,
03-06 19:55:41,deepseek-v3,2a06:98c0:3600::103,402,644,1046,48,112920,Gf4iICY82pIIujjf,主,
03-06 16:50:10,gpt-4o-mini,2a06:98c0:3600::103,127,27,154,2,112922,DcDroqs4s4Kw5U4m,主,
03-06 16:26:35,pay,,0,0,0,-100000,12922,2503061626144513,主,
03-06 16:23:48,chatgpt-4o-latest,2a06:98c0:3600::103,9,14,23,18,12940,mabz0zZzpE5i4aD6,主,
03-06 16:05:31,gpt-4o-mini,2a06:98c0:3600::103,163,62,225,4,12944,FNvATTFdzyObxBwU,主,
03-06 16:04:27,deepseek-v3,2a06:98c0:3600::103,1247,1073,2320,89,13033,39nWSnA8M3Vu0C8a,主,
03-06 16:03:36,deepseek-v3,2a06:98c0:3600::103,737,508,1245,44,13077,RJ1IHCl5X91zUN2H,主,
03-06 16:03:01,deepseek-v3,2a06:98c0:3600::103,137,555,692,38,13115,TiPLfsxTULyS06k1,主,
03-06 16:03:04,deepseek-v3,2a06:98c0:3600::103,74,14,88,2,13117,V2PHD7kHlINvU20A,主,
03-06 15:55:50,deepseek-v3,2a06:98c0:3600::103,74,42,116,4,13121,3WGGAJgxWkMfvPf6,主,
03-06 15:50:04,gpt-4o-mini,2a06:98c0:3600::103,106,12,118,2,13123,0IAyoTGfCAOGgCEW,主,
03-06 15:49:54,deepseek-v3,2a06:98c0:3600::103,25,32,57,2,13125,Ys7fV44wx21kNyd3,主,
03-06 14:40:54,gpt-4o-mini,2a06:98c0:3600::103,1205,430,1635,31,13156,IYiTxNQFAfDxUzCh,主,
03-06 14:40:01,deepseek-v3,2a06:98c0:3600::103,2646,578,3224,79,13235,NDgVJPA1bcfT0mgF,主,
03-06 11:20:06,gpt-4o-mini,2a06:98c0:3600::103,248,7,255,3,13238,3h33tAz1UITUYnuC,主,
03-06 11:19:56,deepseek-r1,2a06:98c0:3600::103,9,179,188,23,13261,ABQgVBpwy6RjmY1c,主,
03-05 23:26:50,deepseek-v3,2a06:98c0:3600::103,1089,763,1852,66,13327,ZNT4bFw7Slmb8Bo6,主,
03-05 21:20:43,gpt-4o-mini,2a06:98c0:3600::103,1237,11,1248,14,13341,my1I7lXYKqfYsHhh,主,
03-05 21:19:11,deepseek-v3,2a06:98c0:3600::103,151,1348,1499,89,13430,9M76Pa9aLoBNR7m6,主,
03-05 21:16:21,gpt-4o-mini,2a06:98c0:3600::103,966,6,972,10,13440,ymwRMhsOq73RaBx2,主,
03-05 21:15:30,deepseek-v3,2a06:98c0:3600::103,402,566,968,43,13483,okBb1gZRlXduYeLU,主,
03-05 21:14:45,gpt-4o-mini,2a06:98c0:3600::103,382,164,546,11,13494,6S3pKeCxw9Sz6A4F,主,
03-05 21:13:31,deepseek-v3,2a06:98c0:3600::103,3591,605,4196,96,13590,8RibQNPGitjZ2V9H,主,
03-05 21:11:52,deepseek-v3,2a06:98c0:3600::103,2497,663,3160,82,13672,06lQKiC0yhZygdiD,主,
03-05 16:01:15,gpt-4o-mini,2a06:98c0:3600::103,1105,7,1112,12,13684,lnoyDBVuHi52GJiu,主,
03-05 16:00:20,deepseek-r1,2a06:98c0:3600::103,954,1351,2305,203,13887,tGnZkW4aTtAOmYAb,主,
03-05 15:27:40,gpt-4o-mini,2a06:98c0:3600::103,16,177,193,8,13895,7hpCoK5fOKIzCW62,主,
03-05 12:47:00,gpt-4o-mini,2a06:98c0:3600::103,675,6,681,7,13902,cSvXuyw1rapXsa7v,主,
03-05 12:46:26,deepseek-r1,2a06:98c0:3600::103,951,809,1760,134,14036,rDip12ByUDR50B4W,主,
03-05 12:27:10,gpt-4o-mini,2a06:98c0:3600::103,5776,412,6188,79,14115,nnUSFxWQSctUyDgQ,主,
03-05 12:25:56,deepseek-v3,2a06:98c0:3600::103,4499,1081,5580,141,14256,fdhXrSdmFmb3HMnc,主,
03-05 12:23:53,gpt-4o-mini,2a06:98c0:3600::103,5034,319,5353,67,14323,K3bW939LIaTJBDnS,主,
03-05 12:22:51,deepseek-v3,2a06:98c0:3600::103,4393,823,5216,123,14446,zkAy4XYp72tSsbLp,主,
03-05 12:18:26,gpt-4o-mini,2a06:98c0:3600::103,4371,259,4630,58,14504,8104euDKnCma0eiU,主,
03-05 12:17:37,deepseek-v3,2a06:98c0:3600::103,4011,622,4633,104,14608,HuNhoyNJsr6XPyrW,主,
03-05 12:16:56,gpt-4o-mini,2a06:98c0:3600::103,3780,319,4099,54,14662,k6b3Mcq4GqPQGU4d,主,
03-05 12:15:30,deepseek-v3,2a06:98c0:3600::103,3745,743,4488,107,14769,G9QCkbkLH2J9x82T,主,
03-05 12:11:42,deepseek-v3,2a06:98c0:3600::103,1313,787,2100,71,14840,jFAKJKcjeOwGnx3w,主,
03-05 12:09:19,deepseek-v3,2a06:98c0:3600::103,692,597,1289,49,14889,UTupGX5h7PJu1Cjg,主,
03-05 12:06:00,gpt-4o-mini,2a06:98c0:3600::103,336,6,342,4,14893,SYfXVmcDiy6L3hu3,主,
03-05 12:05:42,deepseek-v3,2a06:98c0:3600::103,16,358,374,23,14916,ChTqkd2Vde1Dh0ub,主,
03-05 12:02:27,gpt-4o-mini,2a06:98c0:3600::103,103,4,107,1,14917,0uzitdpwd4dH1MR4,主,
03-05 12:02:25,deepseek-r1,2a06:98c0:3600::103,9,41,50,5,14922,C8Z2N9xoc0jhqiBP,主,
03-05 11:27:29,gpt-4o-mini,2a06:98c0:3600::103,3194,345,3539,49,14971,YYdP2LEL386KHhiO,主,
03-05 11:26:42,deepseek-v3,2a06:98c0:3600::103,2895,620,3515,86,15057,YICFNkfVd4WAloIN,主,
03-05 11:26:24,gpt-4o-mini,2a06:98c0:3600::103,3178,352,3530,49,15106,i62VnJIGHcyKQWgl,主,
03-05 11:25:46,deepseek-v3,2a06:98c0:3600::103,2557,555,3112,76,15182,nYRpqFARB2LgPdye,主,
03-05 11:25:23,gpt-4o-mini,2a06:98c0:3600::103,2732,296,3028,42,15224,dF6mCDACcqQqTt9b,主,
03-05 11:24:50,deepseek-v3,2a06:98c0:3600::103,2944,464,3408,77,15301,P72uOtbFY37AjN0S,主,
03-05 11:21:37,gpt-4o-mini,2a06:98c0:3600::103,2023,400,2423,39,15340,Fn9y0TJ2XuicDsiS,主,
03-05 11:21:05,deepseek-v3,2a06:98c0:3600::103,2460,510,2970,72,15412,PWeytZETECGbl7Gh,主,
03-05 11:20:47,gpt-4o-mini,2a06:98c0:3600::103,1806,359,2165,34,15446,0p6O33gM3WFkMzph,主,
03-05 11:20:40,gpt-4o-mini,2a06:98c0:3600::103,1806,361,2167,35,15481,bDUL2dMix5Cie7EM,主,
03-05 11:20:24,gpt-4o-mini,2a06:98c0:3600::103,959,406,1365,27,15508,tah9YwfKimD4zDK7,主,
03-05 11:20:17,img-chatgpt-4o-latest,2a06:98c0:3600::103,1,0,1,1000,16508,img-CXJGIPpKRvFu1KoW,主,
03-05 11:20:17,chatgpt-4o-latest,2a06:98c0:3600::103,3587,395,3982,1694,18202,CXJGIPpKRvFu1KoW,主,
03-05 11:16:36,img-chatgpt-4o-latest,2a06:98c0:3600::103,1,0,1,1000,19202,img-KuzoD3vXTKlqmJdU,主,
03-05 11:16:36,chatgpt-4o-latest,2a06:98c0:3600::103,2576,888,3464,1860,21062,KuzoD3vXTKlqmJdU,主,
03-05 11:07:16,chatgpt-4o-latest,2a06:98c0:3600::103,2344,206,2550,1051,22113,CTnp2l8uMUweKOkF,主,
03-05 10:54:12,gpt-4o-mini,2a06:98c0:3600::103,810,4,814,9,22122,Ka9jH1FCaHyNIanw,主,
03-05 10:53:43,chatgpt-4o-latest,2a06:98c0:3600::103,19,1074,1093,1151,23273,VRQwGtHUJ7rZQ9pm,主,
03-05 10:41:39,chatgpt-4o-latest,2a06:98c0:3600::103,1496,790,2286,1372,24645,WCYjhIbjHjT5dKiX,主,
03-05 08:59:47,chatgpt-4o-latest,2a06:98c0:3600::103,214,325,539,422,25067,F86RDRdvPEaTwH6w,主,
03-05 08:57:49,gpt-4o-mini,2a06:98c0:3600::103,209,8,217,3,25070,Va6GOljLEcyxdZN7,主,
03-05 08:57:47,chatgpt-4o-latest,2a06:98c0:3600::103,40,119,159,141,25211,K2JpHUatwKGGaEqZ,主,
03-05 07:22:34,deepseek-r1,2a06:98c0:3600::103,1545,732,2277,143,25354,YPjvnmnyMQBj7nmv,主,
03-05 07:21:36,gpt-4o-mini,2a06:98c0:3600::103,1087,8,1095,12,25366,UrH80PsHtRT3FgGQ,主,
03-05 07:20:57,deepseek-r1,2a06:98c0:3600::103,18,1509,1527,194,25560,C3P61zHotalZw8er,主,
03-05 03:45:49,gpt-4o-mini,2a06:98c0:3600::103,4022,6,4028,43,25603,OYEpnpFinBE6sHEN,主,
03-05 03:44:15,deepseek-r1,2a06:98c0:3600::103,2036,2938,4974,441,26044,75Shm6h8FDIbjSir,主,
03-05 03:32:56,gpt-4o-mini,2a06:98c0:3600::103,873,6,879,10,26054,DsVTapy33PAEv5IG,主,
03-05 03:32:20,deepseek-r1,2a06:98c0:3600::103,954,1045,1999,164,26218,a4DHnS0vjozKDY2i,主,
03-05 02:06:38,gpt-4o-mini,2a06:98c0:3600::103,843,8,851,9,26227,S6C1FB3gLGA3cxaC,主,
03-05 02:05:58,deepseek-r1,2a06:98c0:3600::103,951,1006,1957,159,26386,AeerRDWUuSGFvwJS,主,
03-04 23:58:05,chatgpt-4o-latest,2a06:98c0:3600::103,458,441,899,632,27018,y95LNaoVflHZLLJt,主,
03-04 23:57:59,gpt-4o-mini,2a06:98c0:3600::103,397,8,405,5,27023,w7VJegyqeF1B9WEM,主,
03-04 23:57:29,chatgpt-4o-latest,2a06:98c0:3600::103,61,328,389,371,27394,5c9LzNFkADs2fiZs,主,
03-04 23:53:23,chatgpt-4o-latest,2a06:98c0:3600::103,3117,390,3507,1522,28916,U1PnEMvsqkBMHD5L,主,
03-04 23:53:56,gpt-4o-mini,2a06:98c0:3600::103,826,372,1198,25,28941,yhCn2qRWkz4X2pes,主,
03-04 22:23:53,gpt-4o-mini,2a06:98c0:3600::103,1958,292,2250,33,28974,dUU61nvhjrrM7Fiu,主,
03-04 22:23:45,chatgpt-4o-latest,2a06:98c0:3600::103,6401,387,6788,2684,31658,DEk2ccO2CaUT0C49,主,
03-04 22:17:38,gpt-4o-mini,2a06:98c0:3600::103,1298,331,1629,28,31686,OVarvUDDF2rT26ta,主,
03-04 22:17:03,chatgpt-4o-latest,2a06:98c0:3600::103,6217,1314,7531,3606,35292,IGaP0NFCU0mYsRp2,主,
03-04 22:14:37,gpt-4o-mini,2a06:98c0:3600::103,563,336,899,20,35312,cKZSA7woJToVGUKK,主,
03-04 22:13:48,chatgpt-4o-latest,2a06:98c0:3600::103,5041,1300,6341,3174,38486,o8haFp7Ui9W0ZWGW,主,
03-04 22:06:48,chatgpt-4o-latest,2a06:98c0:3600::103,3074,1952,5026,3170,41656,aGSWZKacpfETs9SY,主,
03-04 22:01:04,chatgpt-4o-latest,2a06:98c0:3600::103,1937,1106,3043,1865,43521,ZEOL80ZtCAj359Wc,主,
03-04 21:59:40,chatgpt-4o-latest,2a06:98c0:3600::103,740,1163,1903,1501,45022,Vzk0CmMxglaTbv78,主,
03-04 21:58:58,gpt-4o-mini,2a06:98c0:3600::103,518,13,531,6,45028,BqRSLlK5xizk8jU9,主,
03-04 21:58:52,chatgpt-4o-latest,2a06:98c0:3600::103,34,676,710,732,45760,qZIGUwwMqvhrqDIG,主,
03-04 21:43:19,chatgpt-4o-latest,2a06:98c0:3600::103,2131,975,3106,1795,47555,ifuHANYvSSVt106L,主,
03-04 21:42:15,chatgpt-4o-latest,2a06:98c0:3600::103,1661,434,2095,1052,48607,OB8BJQ5X6maaHfGN,主,
03-04 21:39:29,chatgpt-4o-latest,2a06:98c0:3600::103,1112,534,1646,963,49570,8uanXhEf2uougMm2,主,
03-04 19:45:44,gpt-4o-mini,2a06:98c0:3600::103,911,12,923,10,49580,tBFQFhvT88n0uhuU,主,
03-04 19:45:10,chatgpt-4o-latest,2a06:98c0:3600::103,33,1333,1366,1431,51011,VmoJDXkdikhf0mUV,主,
03-04 18:34:08,deepseek-r1,2a06:98c0:3600::103,955,778,1733,130,51141,YGjhkw4aIuYbW71Q,主,
03-04 17:28:29,gpt-4o-mini,2a06:98c0:3600::103,778,12,790,9,51150,GJ092ZzEgs2H4ZdF,主,
03-04 17:28:02,chatgpt-4o-latest,2a06:98c0:3600::103,33,1057,1090,1137,52287,6InmOpDDLd3SgXRL,主,
03-04 17:27:38,gpt-4o-mini,2a06:98c0:3600::103,1133,265,1398,23,52310,NFy8dG825PVNg9QM,主,
03-04 17:27:05,chatgpt-4o-latest,2a06:98c0:3600::103,6509,1861,8370,4293,56603,o64bTOZNne6ME7kc,主,
03-04 17:24:07,gpt-4o-mini,2a06:98c0:3600::103,991,237,1228,21,56624,uhQxBNCbvdWTz7uC,主,
03-04 17:23:54,chatgpt-4o-latest,2a06:98c0:3600::103,3986,880,4866,2352,58976,CfpXCL2XXKWGTi2M,主,
03-04 17:22:59,chatgpt-4o-latest,2a06:98c0:3600::103,4156,1403,5559,2970,61946,Sj1JRNYn6imBvmTY,主,
03-04 17:23:32,gpt-4o-mini,2a06:98c0:3600::103,572,301,873,19,61965,m4TP6uelGtSaIA5G,主,
03-04 17:17:07,chatgpt-4o-latest,2a06:98c0:3600::103,2361,1775,4136,2728,64693,mPUQtbMifW5bpz1A,主,
03-04 17:14:06,gpt-4o-mini,2a06:98c0:3600::103,811,307,1118,22,64715,km2yAEvG2hP1sT16,主,
03-04 17:13:42,chatgpt-4o-latest,2a06:98c0:3600::103,4342,2673,7015,4388,69103,3cZrOAakRIasCYFD,主,
03-04 17:12:28,chatgpt-4o-latest,2a06:98c0:3600::103,3535,766,4301,2071,71174,A992Ag1dD7oVSWMa,主,
03-04 17:09:24,chatgpt-4o-latest,2a06:98c0:3600::103,1579,1927,3506,2613,73787,DTzPUDRpfkfwspYo,主,
03-04 16:58:17,chatgpt-4o-latest,2a06:98c0:3600::103,1326,1007,2333,1543,75330,wXR6VlkKucIXU0Dl,主,
03-04 16:57:23,chatgpt-4o-latest,2a06:98c0:3600::103,1081,471,1552,885,76215,BzL8NkPFFnJKZUbU,主,
03-04 16:54:46,gpt-4o-mini,2a06:98c0:3600::103,762,9,771,8,76223,LgVerI54xh36Nhzo,主,
03-04 16:54:37,chatgpt-4o-latest,2a06:98c0:3600::103,27,1016,1043,1092,77315,BPLtrsP42KTccl8D,主,
03-04 16:51:56,gpt-4o-mini,2a06:98c0:3600::103,1468,6,1474,16,77331,D18YXkSfhOYGpuXW,主,
03-04 16:48:08,deepseek-r1,2a06:98c0:3600::103,16,2418,2434,310,77641,h4m5Rs7yHiQo7x0X,主,
03-04 16:47:37,deepseek-r1,2a06:98c0:3600::103,7137,2068,9205,493,78134,hP51mGFybTInHs6L,主,
03-04 16:47:53,gpt-4o-mini,2a06:98c0:3600::103,2361,441,2802,44,78178,favopXxzoCXsHwqE,主,
03-04 16:21:31,chatgpt-4o-latest,2a06:98c0:3600::103,710,591,1301,881,79059,Gb9dNEmfILJOP679,主,
03-04 16:21:04,gpt-4o-mini,2a06:98c0:3600::103,524,14,538,6,79065,sP22zqhgrAsoaeTI,主,
03-04 16:20:44,chatgpt-4o-latest,2a06:98c0:3600::103,45,650,695,708,79773,hsCobKGkatG3dpe6,主,
03-04 15:57:03,gpt-4o-mini,2a06:98c0:3600::103,847,440,1287,28,79801,Floj1kz8cU49x2EF,主,
03-04 15:55:38,deepseek-r1,2a06:98c0:3600::103,5862,1536,7398,384,80185,D6nkLDgkGW6yi11D,主,
03-04 15:49:35,deepseek-r1,2a06:98c0:3600::103,3838,1994,5832,378,80563,yx6lNA22gguh4cjN,主,
03-04 15:22:47,deepseek-r1,2a06:98c0:3600::103,2812,1008,3820,219,80782,lBkCE0ayvSdTqfE2,主,
03-04 15:09:14,deepseek-r1,2a06:98c0:3600::103,855,1930,2785,274,81056,XzskYzuU1gwWn9vC,主,
03-04 14:56:12,gpt-3.5-turbo,2a06:98c0:3600::103,854,658,1512,104,81160,Fw8rRFNLETCLcewW,主,
03-04 14:54:51,gpt-4o-mini,2a06:98c0:3600::103,748,7,755,8,81168,JrWtSABYyuzsAJqb,主,
03-04 14:54:44,gpt-3.5-turbo,2a06:98c0:3600::103,191,566,757,57,81225,ETnsH4k0HVkjjsYU,主,
03-04 14:38:32,gpt-4o-mini,2a06:98c0:3600::103,801,8,809,9,81234,5mdCswXHX5TTNr3E,主,
03-04 14:37:49,deepseek-r1,2a06:98c0:3600::103,16,820,836,105,81339,zdKni2L7v8jaoZV1,主,
03-04 09:28:51,gpt-4o-mini,2a06:98c0:3600::103,104,4,108,1,81340,ObUs21zRk3WOBEeK,主,
03-04 05:38:07,deepseek-r1,2a06:98c0:3600::103,1057,969,2026,158,81498,XUt2FyDp0Afovwn7,主,
03-04 05:36:31,gpt-4o-mini,2a06:98c0:3600::103,700,7,707,8,81506,boID69TUxKe6eiiZ,主,
03-04 05:36:13,deepseek-r1,2a06:98c0:3600::103,113,831,944,110,81616,DnfADFJPcqmASQmP,主,
03-04 04:59:51,deepseek-r1,2a06:98c0:3600::103,1744,695,2439,145,81761,0bfBkLKpxgwbhFZS,主,
03-04 04:30:14,gpt-4o-mini,2a06:98c0:3600::103,351,7,358,4,81765,ZbL8e69aoADVxzTR,主,
03-04 03:25:41,gpt-4o-mini,2a06:98c0:3600::103,154,4,158,2,81767,1TO2nzV6iifqQ4GH,主,
03-04 03:25:38,claude-3-haiku-20240307,2a06:98c0:3600::103,12,125,137,5,81772,RASpdxgRDdR1TIBo,主,
03-04 03:24:45,deepseek-r1,2a06:98c0:3600::103,9,248,257,32,81804,LNlrAMt84q4lExcR,主,
03-04 03:24:51,gpt-4o-mini,2a06:98c0:3600::103,148,8,156,2,81806,EF87UWlvJeIk7PAv,主,
03-04 02:38:37,gpt-4o-mini,2a06:98c0:3600::103,15,572,587,24,81830,Ibz0zjzADAqFtSay,主,
03-04 02:37:53,gpt-4o-mini,2a06:98c0:3600::103,251,8,259,3,81833,fhiuKNHxsK49PPYn,主,
03-04 02:37:48,gemini-pro-1.5,2a06:98c0:3600::103,954,224,1178,403,82236,g2fvJQnVqqIUDM39,主,
03-04 02:36:57,gpt-4o-mini,2a06:98c0:3600::103,223,9,232,3,82239,iJj3RFEmYyqJ7A9D,主,
03-04 02:36:52,gemini-pro-1.5,2a06:98c0:3600::103,954,175,1129,367,82606,wDCnFR286mW2SpX3,主,
03-04 02:06:37,gpt-4o-mini,2a06:98c0:3600::103,86,5,91,1,82607,5KQzDxueQhALnMAW,主,
03-04 02:06:35,gemini-pro-1.5,2a06:98c0:3600::103,12,17,29,16,82623,xI2wGtS4bJapDxM9,主,
03-04 02:06:26,gpt-4o-mini,2a06:98c0:3600::103,126,5,131,2,82625,r1bmBFApYis40fiW,主,
03-04 02:06:22,gpt-4o,2a06:98c0:3600::103,9,50,59,56,82681,g3k2sCxvrZMx0dig,主,
03-04 02:06:06,gpt-4o-mini,2a06:98c0:3600::103,121,3,124,1,82682,2A4y8FMmtv9UNB0y,主,
03-04 02:06:02,deepseek-r1,2a06:98c0:3600::103,12,63,75,8,82690,jFEyuzqQTiipdsnQ,主,
03-04 01:59:28,gpt-4o-mini,2a06:98c0:3600::103,14,200,214,9,82699,eOPseC5Lfh71W1nG,主,
03-04 01:45:49,gpt-4o-mini,2a06:98c0:3600::103,90,5,95,1,82700,s0H0o0re7b2K0qDv,主,
03-04 01:45:47,deepseek-r1,2a06:98c0:3600::103,9,17,26,2,82702,NHzGogTLii1uDXcq,主,
03-04 01:44:28,gpt-4o-mini,2a06:98c0:3600::103,14,148,162,6,82708,hvKpvgILfNNxwu8h,主,
03-04 01:32:57,deepseek-r1,2a06:98c0:3600::103,9,41,50,5,82713,CF7EjXITuB68laeZ,主,
03-04 01:10:28,deepseek-v3,2a06:98c0:3600::103,21,47,68,3,82716,HDHgV4makZhiyg2m,主,
03-04 01:09:54,gpt-4o-mini,2a06:98c0:3600::103,75,4,79,1,82717,efSlLh12GEoAmTQg,主,
03-04 00:58:34,deepseek-v3,2a06:98c0:3600::103,543,593,1136,47,82764,1lTF4mue5C3UOsvF,主,
